lat,lon,alt,eph,epv,vel,cog,satellites_visible,roll,pitch,yaw,rollspeed,pitchspeed,yawspeed,airspeed,groundspeed,heading,throttle,climb,label
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.001146015478298068,-0.00036290191928856075,1.6211564540863037,-0.00031874317210167646,-0.00038014003075659275,-0.0007470075506716967,0.0,0.0,0.0,0.0,0.0,0
-353505339.0,1491759346.0,574650.0,121.0,200.0,0.0,602.0,10.0,-0.0011493265628814697,-0.0003636592300608754,1.621156930923462,-0.0002761178184300661,-0.0003050162922590971,-0.0007200245745480061,0.023514194414019585,0.023513827472925186,92.0,0.0,-0.00013106258120387793,0
-353505339.0,1491759346.0,574650.0,121.0,200.0,0.0,602.0,10.0,-0.0011436683125793934,-0.00035964534617960453,1.6211620569229126,-0.00017966446466743946,-0.0003225082764402032,-0.0007081459043547511,0.02350866049528122,0.023508204147219658,92.0,0.0,-0.00014693995763082057,0
-353505339.0,1491759346.0,574650.0,121.0,200.0,0.0,602.0,10.0,-0.001143231289461255,-0.00036123741301707923,1.6211611032485962,-0.00027142080944031477,-0.0003797551617026329,-0.000774235581047833,0.02350866049528122,0.023508204147219658,92.0,0.0,-0.00014693995763082057,0
-353505339.0,1491759346.0,574650.0,121.0,200.0,0.0,602.0,10.0,-0.0011429083533585072,-0.00036037704558111727,1.6211655139923096,-0.00033189135137945414,-0.00037595618050545454,-0.0007613736670464277,0.02357480116188526,0.0235743410885334,92.0,0.0,-0.0001470626302761957,0
-353505339.0,1491759346.0,574650.0,121.0,200.0,0.0,602.0,10.0,-0.001143137109465897,-0.0003659820940811187,1.6211683750152588,-0.00023186998441815376,-0.0002806612756103277,-0.0007754855323582888,0.02353803813457489,0.023537589237093925,92.0,0.0,-0.00014549389015883207,0
-353505339.0,1491759346.0,574650.0,121.0,200.0,0.0,602.0,10.0,-0.001143609406426549,-0.0003638637426774949,1.6211730241775513,-0.00022464594803750515,-0.0002859726082533598,-0.000786494230851531,0.023584991693496704,0.02358468808233738,92.0,0.0,-0.0001198717363877222,0
-353505339.0,1491759346.0,574650.0,121.0,200.0,0.0,602.0,10.0,-0.001142390538007021,-0.0003627141995821148,1.6211732625961304,-0.00027892005164176226,-0.00030333048198372126,-0.0007730628130957484,0.0235283225774765,0.023528151214122772,92.0,0.0,-8.97786594578065e-05,0
-353505339.0,1491759346.0,574650.0,121.0,200.0,0.0,602.0,10.0,-0.0011438449146226048,-0.0003637814079411328,1.6211731433868408,-0.00027833867352455854,-0.00036671303678303957,-0.00074772909283638,0.02349224127829075,0.02349218726158142,92.0,0.0,-5.064200013293885e-05,0
-353505339.0,1491759346.0,574650.0,121.0,200.0,0.0,602.0,10.0,-0.001143028144724667,-0.000360731384716928,1.6211766004562378,-0.0003070960519835353,-0.0003459039144217968,-0.0007707074983045459,0.023500924929976463,0.023500876501202583,92.0,0.0,-4.711278961622156e-05,0
-353505339.0,1491759346.0,574650.0,121.0,200.0,0.0,602.0,10.0,-0.0011461859103292227,-0.00036020000698044896,1.6211780309677124,-0.00032162200659513474,-0.00031485792715102434,-0.0007781285094097257,0.023455116897821426,0.023455101996660233,92.0,0.0,-2.7387004593038e-05,0
-353505339.0,1491759346.0,574650.0,121.0,200.0,0.0,602.0,10.0,-0.0011417762143537402,-0.0003580719931051135,1.621179461479187,-0.0002715371083468199,-0.0002705516526475549,-0.0007858793251216412,0.023482540622353554,0.02348249964416027,92.0,0.0,-4.292447920306586e-05,0
-353505339.0,1491759346.0,574650.0,121.0,200.0,0.0,602.0,10.0,-0.0011463479604572058,-0.00035621077404357493,1.62118661403656,-0.00031752511858940125,-0.0003086850047111511,-0.000776702887378633,0.0236012265086174,0.023601017892360687,92.0,0.0,-9.86757077043876e-05,0
-353505339.0,1491759346.0,574650.0,121.0,200.0,0.0,602.0,10.0,-0.0011476394720375538,-0.0003591421991586685,1.6211864948272705,-0.00019954005256295204,-0.0003157620085403323,-0.0008277572924271226,0.023587238043546677,0.023586994037032127,92.0,0.0,-0.00010673388896975666,0
-353505339.0,1491759346.0,574650.0,121.0,200.0,0.0,602.0,10.0,-0.0011457860236987472,-0.0003585169033613056,1.6211918592453003,-0.0002716656308621168,-0.00033703376539051533,-0.0006782251875847578,0.023534120991826057,0.023533666506409645,92.0,0.0,-0.00014619491412304342,0
-353505339.0,1491759346.0,574650.0,121.0,200.0,0.0,602.0,10.0,-0.0011472246842458844,-0.00036414808710105717,1.6211936473846436,-0.0002788364654406905,-0.0003666513366624713,-0.0008174529066309333,0.0235906932502985,0.023590493947267532,92.0,0.0,-9.677939669927582e-05,0
-353505339.0,1491759346.0,574650.0,121.0,200.0,0.0,602.0,10.0,-0.0011410192819312215,-0.0003636376350186765,1.621195912361145,-0.00021712796296924353,-0.0003951349062845111,-0.0007511399453505874,0.023495309054851532,0.023495009168982506,92.0,0.0,-0.00011857253412017599,0
-353505339.0,1491759346.0,574650.0,121.0,200.0,0.0,602.0,10.0,-0.0011453619226813316,-0.00036273765726946294,1.6211992502212524,-0.00029210979118943214,-0.0003304005367681384,-0.0007254977244883776,0.023566612973809242,0.023566337302327156,92.0,0.0,-0.00011413214087951928,0
-353505339.0,1491759346.0,574650.0,121.0,200.0,0.0,602.0,10.0,-0.0011494018835946918,-0.000366629334166646,1.6212024688720703,-0.0002872550394386053,-0.0003919530427083373,-0.000720599084161222,0.023594381287693977,0.023593958467245102,92.0,0.0,-0.0001412560959579423,0
-353505339.0,1491759346.0,574650.0,121.0,200.0,0.0,602.0,10.0,-0.0011454318882897496,-0.00036124978214502335,1.621199607849121,-0.0002148583298549056,-0.00030504364985972643,-0.0007457704050466418,0.023516589775681496,0.023516036570072174,92.0,0.0,-0.00016173261974472553,0
-353505339.0,1491759346.0,574650.0,121.0,200.0,0.0,602.0,10.0,-0.0011493896599859,-0.0003649226564448327,1.6212031841278076,-0.00022521591745316982,-0.00033121195156127214,-0.0007646094309166074,0.023511873558163643,0.023511622101068497,92.0,0.0,-0.00010864200157811865,0
-353505339.0,1491759346.0,574650.0,121.0,200.0,0.0,602.0,10.0,-0.0011504944413900375,-0.0003681110392790288,1.6212091445922852,-0.0003165632952004671,-0.0003251542802900076,-0.0007108212448656559,0.0234235730022192,0.02342318370938301,92.0,0.0,-0.0001349489757558331,0
-353505339.0,1491759346.0,574650.0,121.0,200.0,0.0,602.0,10.0,-0.0011487453011795878,-0.00036469328915700316,1.621213436126709,-0.00032096891663968563,-0.00036216352600604296,-0.0007839635945856571,0.023457199335098267,0.02345711924135685,92.0,0.0,-6.127563392510638e-05,0
-353505339.0,1491759346.0,574650.0,121.0,200.0,0.0,602.0,10.0,-0.0011481873225420713,-0.0003645660472102463,1.6212185621261597,-0.0002342805964872241,-0.00020123471040278673,-0.000749162514694035,0.023457199335098267,0.02345711924135685,92.0,0.0,-6.127563392510638e-05,0
-353505339.0,1491759346.0,574650.0,121.0,200.0,0.0,602.0,10.0,-0.001146663329564035,-0.0003620939969550818,1.6212211847305298,-0.0002872477052733302,-0.0003371931379660964,-0.0007804114138707519,0.02337712235748768,0.023377113044261932,92.0,0.0,-2.057866549876053e-05,0
-353505339.0,1491759346.0,574650.0,121.0,200.0,0.0,602.0,10.0,-0.0011520199477672577,-0.0003673685132525861,1.6212254762649536,-0.00026569736655801535,-0.0003285178681835532,-0.0007284776074811816,0.023409979417920113,0.023409975692629814,92.0,0.0,1.0535090041230433e-05,0
-353505339.0,1491759346.0,574650.0,121.0,200.0,0.0,602.0,10.0,-0.0011462916154414415,-0.00036422524135559797,1.621227741241455,-0.00024053826928138733,-0.0003462651511654258,-0.0008158881682902575,0.02333509735763073,0.02333509363234043,92.0,0.0,-1.3750573089055251e-05,0
-353505339.0,1491759346.0,574650.0,121.0,200.0,0.0,602.0,10.0,-0.001145328744314611,-0.0003679065266624093,1.621225357055664,-0.00026848504785448313,-0.000371407950296998,-0.0007321437587961555,0.023418650031089783,0.023418644443154335,92.0,0.0,-1.3271634088596329e-05,0
-353505339.0,1491759346.0,574650.0,121.0,200.0,0.0,602.0,10.0,-0.0011487635783851147,-0.0003716211358550936,1.6212279796600342,-0.0002857681829482317,-0.00036313501186668873,-0.0008140940917655826,0.023309387266635895,0.023309379816055298,92.0,0.0,-1.744160908856429e-05,0
-353505339.0,1491759346.0,574650.0,121.0,200.0,0.0,602.0,10.0,-0.0011466604191809893,-0.00036683917278423905,1.6212230920791626,-0.00027034839149564505,-0.0003001132281497121,-0.0007695787353441119,0.02325630933046341,0.02325630746781826,92.0,0.0,1.4372078112501185e-05,0
-353505339.0,1491759346.0,574650.0,121.0,200.0,0.0,602.0,10.0,-0.0011505160946398973,-0.0003722633991856128,1.6212153434753418,-0.00028112262953072786,-0.0003847515909001231,-0.0007855818839743733,0.023310476914048195,0.023310452699661255,92.0,0.0,-3.283802288933657e-05,0
-353505339.0,1491759346.0,574650.0,121.0,200.0,0.0,602.0,10.0,-0.0011490267934277654,-0.00037236002390272915,1.6212127208709717,-0.0002920893020927906,-0.00040244695264846087,-0.0007697144756093621,0.02321162447333336,0.023211579769849777,92.0,0.0,-4.572840771288611e-05,0
-353505339.0,1491759346.0,574650.0,121.0,200.0,0.0,602.0,10.0,-0.0011547827161848545,-0.0003753737546503544,1.6212158203125,-0.00026918668299913406,-0.0003468206850811839,-0.0007158354856073856,0.0232560932636261,0.02325599640607834,92.0,0.0,-6.720402598148212e-05,0
-353505339.0,1491759346.0,574650.0,121.0,200.0,0.0,602.0,10.0,-0.0011545736342668533,-0.00037315598456189036,1.6212198734283447,-0.00031022552866488695,-0.0002707582898437977,-0.0007110784063115716,0.023146051913499832,0.023145977407693863,92.0,0.0,-5.8857054682448506e-05,0
-353505339.0,1491759346.0,574650.0,121.0,200.0,0.0,602.0,10.0,-0.001161710126325488,-0.0003752732591237873,1.6212272644042969,-0.0002486122539266944,-0.0003662238596007228,-0.000770856044255197,0.023104684427380562,0.023104621097445488,92.0,0.0,-5.4573622037423775e-05,0
-353505339.0,1491759346.0,574650.0,121.0,200.0,0.0,602.0,10.0,-0.0011658266885206103,-0.0003792544302996248,1.6212316751480103,-0.00025273754727095366,-0.0003392720827832818,-0.0007646551821380854,0.023006625473499298,0.023006509989500046,92.0,0.0,-7.286018080776557e-05,0
-353505339.0,1491759346.0,574650.0,121.0,200.0,0.0,602.0,10.0,-0.0011657398426905274,-0.0003784518630709499,1.6212373971939087,-0.00021789874881505966,-0.0003206166438758373,-0.0006383184809237719,0.022861678153276443,0.022861557081341743,92.0,0.0,-7.549401198048145e-05,0
-353505339.0,1491759346.0,574650.0,121.0,200.0,0.0,602.0,10.0,-0.0011735785519704223,-0.0003827676991932094,1.62123703956604,-0.00036492530489340425,-0.0002855481579899788,-0.000795762287452817,0.022861678153276443,0.022861557081341743,92.0,0.0,-7.549401198048145e-05,0
-353505339.0,1491759346.0,574650.0,121.0,200.0,0.0,602.0,10.0,-0.0011725170770660043,-0.00038075761403888464,1.6212408542633057,-0.0002942705759778619,-0.00035488849971443415,-0.0007953749736770988,0.02269235998392105,0.022692272439599037,92.0,0.0,-6.28401612630114e-05,0
-353505339.0,1491759346.0,574650.0,121.0,200.0,0.0,602.0,10.0,-0.0011805532267317176,-0.0003869812935590744,1.6212432384490967,-0.0003220302751287818,-0.00031324964947998524,-0.000749703380279243,0.02242325432598591,0.022423135116696358,92.0,0.0,-7.343060133280233e-05,0
-353505339.0,1491759346.0,574650.0,121.0,200.0,0.0,602.0,10.0,-0.0011841356754302979,-0.0003839620330836624,1.6212472915649414,-0.0002950495108962059,-0.00030737253837287426,-0.0007408001692965627,0.02239043638110161,0.02239028550684452,92.0,0.0,-8.188192441593856e-05,0
-353505339.0,1491759346.0,574650.0,121.0,200.0,0.0,602.0,10.0,-0.0011841356754302979,-0.0003839620330836624,1.6212472915649414,-0.0002950495108962059,-0.00030737253837287426,-0.0007408001692965627,0.02239043638110161,0.02239028550684452,92.0,0.0,-8.188192441593856e-05,0
-353505339.0,1491759346.0,574650.0,121.0,200.0,0.0,602.0,10.0,-0.0012009766651317477,-0.0003933502302970737,1.6212509870529175,-0.000257758772931993,-0.0003512167604640126,-0.0007089714054018259,0.02228540927171707,0.02228512056171894,92.0,0.0,-0.00011320124758640304,0
-353505339.0,1491759346.0,574650.0,121.0,200.0,0.0,602.0,10.0,-0.0012009766651317477,-0.0003933502302970737,1.6212509870529175,-0.000257758772931993,-0.0003512167604640126,-0.0007089714054018259,0.02228540927171707,0.02228512056171894,92.0,0.0,-0.00011320124758640304,0
